Name(string)=dribbling|WorkProfileId(string)=1|Id(string)=fdd62155-772b-445e-8fe8-a700706b1325
Name(string)=tiro lejano|WorkProfileId(string)=1|Id(string)=2ad6301a-d71b-4a9f-a378-9805ae0844fe
Name(string)=comer|WorkProfileId(string)=1|Id(string)=6d5619d3-4f09-4990-a8e1-a80a1ca28c99
Name(string)=dormir|WorkProfileId(string)=1|Id(string)=d9e408cc-111d-498b-ba74-cf15272df417
Name(string)=comer asado todos los dias|WorkProfileId(string)=2|Id(string)=2d9c55d1-175a-4a59-834d-706751cd0643
Name(string)=maestro mordedor|WorkProfileId(string)=2|Id(string)=80acf1e7-6e5f-4772-a8bc-549e84e98ad3
Name(string)=hacer goles|WorkProfileId(string)=2|Id(string)=c7647afb-5420-4544-93bf-1d29c289bf3f
Name(string)=facha|WorkProfileId(string)=3|Id(string)=a656c832-08d6-46ee-b5f8-801420d3e0bf
Name(string)=tirar tiros libres|WorkProfileId(string)=3|Id(string)=03bc13c0-d3c2-4de6-897e-d07088af02f4
Name(string)=liderar el equipo|WorkProfileId(string)=3|Id(string)=f6802989-f2e5-4c54-bfde-7530c942f6b7
